,LR,Layer1,Layer2,Layer3,Layer4,Fitness,Generation
388,0.021,22.0,33.0,9.0,0.0,0.4671844153023995,
389,0.01,40.0,17.0,0.0,4.0,0.7204909243662713,
390,0.01,22.0,40.0,0.0,0.0,0.3819437239535902,
391,0.01,22.0,15.0,4.0,0.0,0.17202407553111865,
392,0.01,22.0,40.0,12.0,0.0,0.3360988038881933,
393,0.01,22.0,15.0,9.0,0.0,0.14069904306665038,
394,0.021,40.0,41.0,0.0,0.0,0.5560424412341421,
395,0.01,40.0,15.0,0.0,4.0,0.3613545410479119,
396,0.021,40.0,41.0,12.0,0.0,-0.3418855484339112,
397,0.061,40.0,15.0,0.0,4.0,0.1445165480580397,
398,0.001,32.0,40.0,0.0,0.0,0.5232299025562885,
399,0.01,32.0,40.0,0.0,0.0,0.6376866223177055,
400,0.001,32.0,17.0,0.0,8.0,0.6014541183605847,
401,0.01,32.0,5.0,0.0,0.0,0.02967097206631397,
402,0.01,22.0,40.0,0.0,0.0,0.5652502365008555,
403,0.01,17.0,40.0,0.0,0.0,0.6951731167279076,
404,0.01,32.0,40.0,0.0,0.0,0.2799234228000982,
405,0.01,17.0,40.0,15.0,0.0,-0.5336601633671216,
406,0.01,2.0,40.0,0.0,0.0,0.44167585491999306,
407,0.01,40.0,40.0,0.0,0.0,0.7154242746854167,
408,0.061,2.0,1.0,0.0,0.0,-0.08981484749220381,
409,0.01,40.0,37.0,0.0,0.0,0.6382403818702798,
410,0.01,22.0,40.0,0.0,0.0,0.6237320453547235,
411,0.01,20.0,41.0,4.0,0.0,0.5560896475347624,
412,0.01,27.0,40.0,9.0,0.0,0.06353870039354093,
413,0.01,37.0,41.0,4.0,0.0,0.561167266791444,
414,0.01,40.0,17.0,0.0,4.0,0.6595975022692275,
415,0.01,40.0,40.0,0.0,0.0,0.5830902629274389,
416,0.01,40.0,1.0,0.0,4.0,0.5609129610651382,
417,0.01,40.0,40.0,0.0,12.0,0.4440655112899297,
418,0.01,40.0,40.0,0.0,0.0,0.4464106605484455,
419,0.01,20.0,40.0,9.0,0.0,0.4373512385387783,
